Orth Louise (I),Reggie the Daredevil (1914)
Liang Erh,Lan yu zhi ge (1965)
Palmisano Conrad E.,Meteor (1979)
Templeton Harry (I),The Forest Rangers (1942)
Yang Chih-Ching,Chak wong ji wong (1982)
Alonzo Anthony (I),Reyna ng Pitong Gatang (1980)
Persson Marie-Sophie,La polizia è al servizio del cittadino? (1973)
Murayama Noé,La noche del Ku-Klux-Klan (1980)
Besedniak Dina,Tal vez Tokio (2001)
Williams Clinton Noel,2 Days (2006)
Dinsdale Richard,The Greatest Miracle (2007)
Pourazari Hamid,No Lips No Laughter (2009)
McDarby Kate,Cookie (2005)
Lakcob Daniela,Triomf (2008)
Udijana Agung,Sumpah (ini)
O'Neill Jennifer (I),The Reincarnation of Peter Proud (1975)
Avilez Aaron,My Father's Son (2009)
Johns Mervyn,The Shield of Faith (1956)
Kwiatkowski Robin,How I Killed Mumblecore (2009)
Corrêa e Castro Cláudio,Tiradentes O Mártir da Independência (1977)
Schaeffer Charles (II),Gun-Hand Garrison (1927)
Haigh Tristan,Decadere (2008)
Connelly Bobby (I),Intrigue (1917)
Hopkins Clyde E.,Might and the Man (1917)
Zam Chhimi,Travellers and Magicians (2003)
Lonsdale Rosalind,The N7 (2003)
Flowers Bess,The St. Louis Kid (1934)
Frith Rebecca,Me Myself I (1999)
Fabre Saturnin,Les portes de la nuit (1946)
Ayala Vicente,La isla interior (2009)
Caine Roger,While the Cat's Away... (1972)
Greco Sam,Under the Gun (1995)
Tsobe Geoffrey,Diamond Safari (1958)
von Münchofen Helen,Stolzenfels am Rhein (1927)
Stoyannidis Vassilis,Metaihmio (1994)
Moreno Antonio (I),Ambush (1939)
Mota Ana Paula,Histórias de Alice (2009)
Alves Lúcio,Rei do Movimento (1954)
James Joe (III),Analyze That (2002)
Moore Ida,Girls of the Big House (1945)
Warring Katlyn,The Principal's Office (2011)
Newell Christopher,Sumo Joe (2010)
Thayer Max,C.E.O. (2002)
Santos Ednéas,Tieta do Agreste (1996)
Mesidis Aimilios,Dafnis kai Hloi: Oi mikroi erastai (1969)
Astor Junie,Chantons sous l'occupation (1976)
Kawakami Yayoi,Jiraika-gumi: Dai-ippen (1927)
Han Su (I),Wei zhen si fang (1971)
Kapoor Geeta (I),Pakeezah (1972)
Coden Damien,Le bruit autour de moi (2011)
Hui Ricky,Gui ma shuang xing (1974)
Munt Silvia,Subjúdice (1998)
